Id;CodeCIS;Denomination;FormePharma;EstCommercialisée;StatutBDM;NoUE_autorisation;Titulaire(s);surveillance;JJ_MM_AAAA;idProcédure;idStatutAdmin
1;60002283;ANASTROZOLE ACCORD 1 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;ACCORD HEALTHCARE FRANCE;FAUX;28/10/2010;1;1
2;60002504;RANITIDINE BIOGARAN 150 mg, comprimé effervescent;comprimé effervescent(e);VRAI;Warning disponibilité;;SAINT GERMAIN;FAUX;04/07/1989;2;2
3;60002746;ACTAEA RACEMOSA FERRIER, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  solution en gouttes en gouttes;FAUX;;;FERRIER;FAUX;03/01/2008;3;1
4;60003620;BECLOSPIN 800 microgrammes/2ml suspension pour inhalation par nébuliseur;suspension pour inhalation par nébuliseur;FAUX;;;CHIESI;FAUX;06/01/2006;1;1
5;60004277;FENOFIBRATE TEVA 100 mg, gélule;gélule;FAUX;;;TEVA SANTE;FAUX;06/12/1996;2;1
6;60004487;TRAMADOL EG L.P. 200 mg, comprimé à libération prolongée;comprimé à libération prolongée;FAUX;;;EG LABO - LABORATOIRES EUROGENERICS;FAUX;07/09/2009;2;1
7;60004505;CABAZITAXEL REDDY PHARMA 60 mg, solution à diluer et solvant pour solution pour perfusion;solution à diluer et  solvant pour solution à diluer pour perfusion;FAUX;;;REDDY PHARMA;FAUX;18/06/2020;4;1
8;60004932;s;comprimé pelliculé;FAUX;;;SANDOZ;FAUX;27/10/2017;4;1
9;60005856;FAMOTIDINE EG 20 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;EG LABO - LABORATOIRES EUROGENERICS;FAUX;22/12/1999;1;1
10;60005952;RHODODENDRON FERRUGINEUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  solution en gouttes en gouttes;FAUX;;;WELEDA;FAUX;25/09/2017;3;1
11;60007437;ATORVASTATINE TEVA SANTE 40 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;TEVA SANTE;FAUX;22/11/2010;4;1
12;60007960;AFTAGEL, gel buccal;gel;FAUX;;;COOPER (ABRÉGÉ DE COOPERATION PHARMACEUTIQUE FRANCAISE);FAUX;06/08/1996;2;1
13;60008724;DUTASTERIDE VIATRIS 0,5 mg, capsule molle;capsule molle;FAUX;;;VIATRIS SANTE;FAUX;20/12/2018;4;1
14;60008845;GLUCOSE BIOSEDRA 15 POUR CENT, solution pour perfusion;solution pour perfusion;FAUX;;;FRESENIUS KABI FRANCE;FAUX;05/03/1998;2;1
15;60008927;RIVASTIGMINE EG 1,5 mg, gélule;gélule;VRAI;Warning disponibilité;;EG LABO - LABORATOIRES EUROGENERICS;FAUX;20/10/2009;4;2
16;60009573;PARACETAMOL/CODEINE TEVA 500 mg/30 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;TEVA (PAYS-BAS);FAUX;05/12/2018;4;1
17;60010084;THIOPENTAL VUAB 500 mg, poudre pour solution injectable;poudre pour solution injectable;VRAI;Warning disponibilité;;VUAB PHARMA;FAUX;28/11/2018;2;1
18;60010166;CHLORURE DE SODIUM PROAMP 0,0585 g/ml (5,85 %), solution à diluer pour perfusion;solution à diluer pour perfusion;FAUX;;;AGUETTANT;FAUX;02/09/2005;1;1
19;60010885;CIPROFLOXACINE CRISTERS PHARMA 250 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;CRISTERS;FAUX;06/07/2007;2;1
20;60010967;TERLOMEXIN 200 mg, capsule molle vaginale;capsule molle;FAUX;;;EFFIK;FAUX;12/10/1994;2;1
21;60014894;FAMENPAX, comprimé orodispersible;comprimé orodispersible;FAUX;;;LEHNING;FAUX;20/09/2012;2;1
22;60015448;GELSEMIUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;LEHNING;FAUX;05/01/2009;3;1
23;60016308;CARVEDILOL VIATRIS 25 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;FAUX;;;VIATRIS SANTE;FAUX;13/02/2006;2;1
24;60016589;LEVOCARNIL 1 g/5 ml, solution injectable en ampoule;solution injectable;FAUX;;;ALFASIGMA FRANCE;FAUX;11/01/1988;2;1
